"date","tmax","tmin","prec"
"01/01/2007",10,9,3.6
"02/01/2007",10,3,0
"03/01/2007",15,3,0.8
"04/01/2007",8,5,3
"05/01/2007",11,5,0.8
"06/01/2007",10,5,4.1
"07/01/2007",9,5,0
"08/01/2007",9,7,0
"09/01/2007",10,5,0
"10/01/2007",10,5,0
"11/01/2007",12,4,0
"12/01/2007",16,5,0
"13/01/2007",17,9,0
"14/01/2007",10,1,0
"15/01/2007",9,5,1.8
"16/01/2007",8,2,0
"17/01/2007",11,4,0
"18/01/2007",13,7,0
"19/01/2007",16,9,0
"20/01/2007",11,6,1.1
"21/01/2007",4,3,18.8
"22/01/2007",4,-1,31.8
"23/01/2007",4,-2,17.3
"24/01/2007",0,-4,25.3
"25/01/2007",-3,-4,17.8
"26/01/2007",-2,-4,0
"27/01/2007",6,-6,0
"28/01/2007",7,-6,0
"29/01/2007",5,-4,2.5
"30/01/2007",4,0,0.6
"31/01/2007",4,0,0
"01/02/2007",6,-1,0
"02/02/2007",5,-4,0
"03/02/2007",6,-1,0
"04/02/2007",10,3,0
"05/02/2007",5,3,1.3
"06/02/2007",6,2,1.9
"07/02/2007",7,3,3.2
"08/02/2007",8,4,14.2
"09/02/2007",7,0,7.6
"10/02/2007",10,1,2.8
"11/02/2007",10,5,30.9
"12/02/2007",8,4,0.4
"13/02/2007",10,3,10.8
"14/02/2007",10,4,3.4
"15/02/2007",10,5,0
"16/02/2007",10,NA,8.7
"17/02/2007",3,2,87.4
"18/02/2007",7,1,0.8
"19/02/2007",6,1,2.9
"20/02/2007",4,2,5.9
"21/02/2007",7,-2,1.2
"22/02/2007",6,0,3.1
"23/02/2007",7,5,23.6
"24/02/2007",8,5,4.2
"25/02/2007",6,5,2.8
"26/02/2007",7,2,2.5
"27/02/2007",15,2,4
"28/02/2007",10,5,0
"01/03/2007",10,5,0
"02/03/2007",13,6,3.4
"03/03/2007",11,9,0
"04/03/2007",12,NA,7
"05/03/2007",6,0,0
"06/03/2007",9,1,3.1
"07/03/2007",9,5,15.2
"08/03/2007",9,1,2.7
"09/03/2007",8,2,4.5
"10/03/2007",15,1,0
"11/03/2007",17,5,0
"12/03/2007",17,7,0
"13/03/2007",11,6,0
"14/03/2007",11,0,0
"15/03/2007",14,4,0
"16/03/2007",10,4,0
"17/03/2007",10,-1,0
"18/03/2007",14,3,1.9
"19/03/2007",0,-1,24.9
"20/03/2007",0,-3,21.8
"21/03/2007",1,-4,0.8
"22/03/2007",4,-3,23.9
"23/03/2007",4,0,8.7
"24/03/2007",7,1,0
"25/03/2007",9,-3,0
"26/03/2007",8,-1,3.7
"27/03/2007",4,0,4.7
"28/03/2007",4,1,1.8
"29/03/2007",3,0,5.1
"30/03/2007",5,1,8.4
"31/03/2007",5,-1,30.3
"01/04/2007",5,-1,0.6
"02/04/2007",9,0,0
"03/04/2007",10,2,5
"04/04/2007",4,1,11.1
"05/04/2007",6,-1,0
"06/04/2007",10,0,0
"07/04/2007",12,2,0
"08/04/2007",11,4,5.1
"09/04/2007",12,5,8.8
"10/04/2007",13,5,0.4
"11/04/2007",15,6,0
"12/04/2007",11,5,4.1
"13/04/2007",12,5,0
"14/04/2007",14,3,0
"15/04/2007",16,4,0
"16/04/2007",16,7,0
"17/04/2007",17,8,0
"18/04/2007",17,9,0
"19/04/2007",17,11,17.8
"20/04/2007",16,8,2.4
"21/04/2007",17,8,0
"22/04/2007",17,10,1.8
"23/04/2007",22,12,0
"24/04/2007",17,13,6.7
"25/04/2007",9,8,51.1
"26/04/2007",5,4,9.6
"27/04/2007",13,4,5
"28/04/2007",11,5,4.5
"29/04/2007",13,4,23.9
"30/04/2007",7,3,6.2
"01/05/2007",6,1,0.5
"02/05/2007",10,2,0.3
"03/05/2007",10,5,0.6
"04/05/2007",13,6,0
"05/05/2007",11,3,0
"06/05/2007",16,3,0
"07/05/2007",17,6,0
"08/05/2007",22,7,0
"09/05/2007",23,10,0
"10/05/2007",18,11,0
"11/05/2007",17,8,0
"12/05/2007",17,10,1.8
"13/05/2007",16,7,12.2
"14/05/2007",7,4,3.8
"15/05/2007",12,2,0
"16/05/2007",17,5,0
"17/05/2007",22,7,0
"18/05/2007",NA,11,0
"19/05/2007",13,12,17.6
"20/05/2007",12,11,14.7
"21/05/2007",9,5,3.6
"22/05/2007",16,5,1.5
"23/05/2007",13,6,12.5
"24/05/2007",17,7,7.4
"25/05/2007",14,7,21.3
"26/05/2007",10,8,2.3
"27/05/2007",9,5,14.2
"28/05/2007",9,3,2.4
"29/05/2007",14,3,0.9
"30/05/2007",15,7,4.1
"31/05/2007",10,7,2.2
"01/06/2007",14,6,0
"02/06/2007",17,8,0
"03/06/2007",17,9,0
"04/06/2007",16,5,0
"05/06/2007",14,5,0
"06/06/2007",18,8,0
"07/06/2007",23,11,0
"08/06/2007",23,13,10.2
"09/06/2007",21,14,1.8
"10/06/2007",21,11,3.4
"11/06/2007",17,10,0
"12/06/2007",17,10,0
"13/06/2007",17,10,13.6
"14/06/2007",16,12,5.7
"15/06/2007",16,9,0
"16/06/2007",15,9,0.6
"17/06/2007",15,8,2.5
"18/06/2007",17,11,0
"19/06/2007",15,12,5.3
"20/06/2007",13,7,4.1
"21/06/2007",12,8,0.9
"22/06/2007",14,7,0.5
"23/06/2007",17,5,0
"24/06/2007",17,8,3.7
"25/06/2007",13,7,0.8
"26/06/2007",14,7,0.6
"27/06/2007",17,5,0
"28/06/2007",18,5,0
"29/06/2007",18,8,0
"30/06/2007",18,8,0
"01/07/2007",22,11,0
"02/07/2007",17,10,0
"03/07/2007",16,10,0.3
"04/07/2007",18,8,0
"05/07/2007",23,8,0
"06/07/2007",23,12,0
"07/07/2007",17,13,0
"08/07/2007",14,12,1.5
"09/07/2007",16,4,0
"10/07/2007",18,8,0
"11/07/2007",21,9,0
"12/07/2007",25,11,0
"13/07/2007",28,15,0
"14/07/2007",27,16,0
"15/07/2007",18,15,28.8
"16/07/2007",15,10,5.2
"17/07/2007",17,7,0
"18/07/2007",17,8,1
"19/07/2007",14,7,4
"20/07/2007",15,5,0
"21/07/2007",15,5,0
"22/07/2007",15,7,7.2
"23/07/2007",13,9,1.4
"24/07/2007",17,9,0
"25/07/2007",22,10,0
"26/07/2007",23,12,0
"27/07/2007",23,12,0
"28/07/2007",24,11,0
"29/07/2007",25,12,0
"30/07/2007",25,15,0
"31/07/2007",27,12,0
"01/08/2007",15,10,2.8
"02/08/2007",18,9,0
"03/08/2007",28,10,0
"04/08/2007",32,11,0
"05/08/2007",33,14,1.6
"06/08/2007",12,9,0.5
"07/08/2007",14,7,0
"08/08/2007",17,5,0
"09/08/2007",18,6,0
"10/08/2007",22,10,0
"11/08/2007",18,12,10.4
"12/08/2007",15,12,0
"13/08/2007",17,8,0
"14/08/2007",23,10,0
"15/08/2007",17,15,3
"16/08/2007",14,8,0.5
"17/08/2007",17,5,0
"18/08/2007",22,8,2.2
"19/08/2007",12,9,0.4
"20/08/2007",16,5,5.6
"21/08/2007",11,5,12
"22/08/2007",10,6,0.5
"23/08/2007",16,8,0.6
"24/08/2007",15,8,0
"25/08/2007",17,8,0
"26/08/2007",22,10,15.1
"27/08/2007",27,16,2.9
"28/08/2007",27,15,-0.4
"29/08/2007",14,13,15.4
"30/08/2007",14,10,0
"31/08/2007",17,5,0
"01/09/2007",18,5,0
"02/09/2007",16,10,0
"03/09/2007",17,9,0
"04/09/2007",NA,7,0
"05/09/2007",20,5,0
"06/09/2007",23,7,0
"07/09/2007",22,11,0
"08/09/2007",22,10,0
"09/09/2007",23,13,0
"10/09/2007",17,10,0
"11/09/2007",17,8,0
"12/09/2007",18,7,0
"13/09/2007",23,9,0
"14/09/2007",19,10,0
"15/09/2007",23,6,0
"16/09/2007",23,9,16.3
"17/09/2007",17,12,6.1
"18/09/2007",11,7,0
"19/09/2007",15,4,0
"20/09/2007",22,5,0
"21/09/2007",22,12,0
"22/09/2007",17,8,0
"23/09/2007",17,8,0
"24/09/2007",16,9,0.5
"25/09/2007",12,5,0
"26/09/2007",13,6,0
"27/09/2007",10,5,0
"28/09/2007",17,4,0
"29/09/2007",14,6,0
"30/09/2007",17,12,3.4
"01/10/2007",17,13,2.9
"02/10/2007",17,10,0
"03/10/2007",13,8,7.9
"04/10/2007",17,8,0.4
"05/10/2007",18,9,0
"06/10/2007",16,9,0
"07/10/2007",16,10,0
"08/10/2007",17,7,0
"09/10/2007",17,6,0
"10/10/2007",14,5,1
"11/10/2007",13,5,0
"12/10/2007",17,4,0
"13/10/2007",18,5,0
"14/10/2007",18,7,0
"15/10/2007",18,8,0
"16/10/2007",17,8,0
"17/10/2007",17,9,0
"18/10/2007",17,5,0
"19/10/2007",18,8,0
"20/10/2007",17,10,0
"21/10/2007",17,10,0
"22/10/2007",13,9,0.6
"23/10/2007",10,8,39.1
"24/10/2007",9,8,1.2
"25/10/2007",10,5,0
"26/10/2007",8,3,0
"27/10/2007",11,1,0
"28/10/2007",16,4,0
"29/10/2007",10,7,3
"30/10/2007",6,4,1.4
"31/10/2007",11,4,0
"01/11/2007",14,0,0
"02/11/2007",16,2,0
"03/11/2007",17,4,0
"04/11/2007",17,8,0
"05/11/2007",17,8,0
"06/11/2007",10,0,0
"07/11/2007",11,3,0
"08/11/2007",17,5,0
"09/11/2007",14,3,0
"10/11/2007",14,2,0
"11/11/2007",17,5,0
"12/11/2007",12,8,0
"13/11/2007",10,-2,0
"14/11/2007",6,0,1.3
"15/11/2007",5,3,3
"16/11/2007",10,0,0
"17/11/2007",13,5,0
"18/11/2007",11,3,19.8
