year;MES;TMAX1;TMAX2;TMAX3;TMAX4;TMAX5;TMAX6;TMAX7;TMAX8;TMAX9;TMAX10;TMAX11;TMAX12;TMAX13;TMAX14;TMAX15;TMAX16;TMAX17;TMAX18;TMAX19;TMAX20;TMAX21;TMAX22;TMAX23;TMAX24;TMAX25;TMAX26;TMAX27;TMAX28;TMAX29;TMAX30;TMAX31
2007;1;100;100;150;80;110;100;90;90;100;100;120;160;170;100;90;80;110;130;160;110;40;40;40;0;-30;-20;60;70;50;40;40
2007;2;60;50;60;100;50;60;70;80;70;100;100;80;100;100;100;100;30;70;60;40;70;60;70;80;60;70;150;100;;;
2007;3;100;130;110;120;60;90;90;90;80;150;170;170;110;110;140;100;100;140;0;0;10;40;40;70;90;80;40;40;30;50;50
2007;4;50;90;100;40;60;100;120;110;120;130;150;110;120;140;160;160;170;170;170;160;170;170;220;170;90;50;130;110;130;70;
2007;5;60;100;100;130;110;160;170;220;230;180;170;170;160;70;120;170;220;NA;130;120;90;160;130;170;140;100;90;90;140;150;100
2007;6;140;170;170;160;140;180;230;230;210;210;170;170;170;160;160;150;150;170;150;130;120;140;170;170;130;140;170;180;180;180;
2007;7;220;170;160;180;230;230;170;140;160;180;210;250;280;270;180;150;170;170;140;150;150;150;130;170;220;230;230;240;250;250;270
2007;8;150;180;280;320;330;120;140;170;180;220;180;150;170;230;170;140;170;220;120;160;110;100;160;150;170;220;270;270;140;140;170
2007;9;180;160;170;NA;200;230;220;220;230;170;170;180;230;190;230;230;170;110;150;220;220;170;170;160;120;130;100;170;140;170;
2007;10;170;170;130;170;180;160;160;170;170;140;130;170;180;180;180;170;170;170;180;170;170;130;100;90;100;80;110;160;100;60;110
2007;11;140;160;170;170;170;100;110;170;140;140;170;120;100;60;50;100;130;110;60;90;80;50;30;30;50;60;90;80;90;130;
2007;12;110;100;80;150;100;140;100;100;60;30;80;100;130;100;100;90;30;50;50;50;60;60;100;100;80;60;100;90;70;80;90
2008;1;100;50;40;90;110;140;80;100;100;70;70;60;50;70;70;80;100;120;110;170;150;140;150;90;100;130;120;120;110;110;80
