"year","MES","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30","P31"
2007,1,36,0,8,30,8,41,0,0,0,0,0,0,0,0,18,0,0,0,0,11,188,318,173,253,178,0,0,0,25,6,0
2007,2,0,0,0,0,13,19,32,142,76,28,309,4,108,34,0,87,874,8,29,59,12,31,236,42,28,25,40,0,,,
2007,3,0,34,0,70,0,31,152,27,45,0,0,0,0,0,0,0,0,19,249,218,8,239,87,0,0,37,47,18,51,84,303
2007,4,6,0,50,111,0,0,0,51,88,4,0,41,0,0,0,0,0,0,178,24,0,18,0,67,511,96,50,45,239,62,
2007,5,5,3,6,0,0,0,0,0,0,0,0,18,122,38,0,0,0,0,176,147,36,15,125,74,213,23,142,24,9,41,22
2007,6,0,0,0,0,0,0,0,102,18,34,0,0,136,57,0,6,25,0,53,41,9,5,0,37,8,6,0,0,0,0,
2007,7,0,0,3,0,0,0,0,15,0,0,0,0,0,0,288,52,0,10,40,0,0,72,14,0,0,0,0,0,0,0,0
2007,8,28,0,0,0,16,5,0,0,0,0,104,0,0,0,30,5,0,22,4,56,120,5,6,0,0,151,29,-4,154,0,0
2007,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,61,0,0,0,0,0,0,5,0,0,0,0,0,34,
2007,10,29,0,79,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,391,12,0,0,0,0,30,14,0
2007,11,0,0,0,0,0,0,0,0,0,0,0,0,0,13,30,0,0,198,83,0,76,27,63,50,34,0,0,0,0,37,
2007,12,46,5,0,0,21,7,19,99,54,37,0,0,0,0,0,0,0,0,0,0,0,12,0,0,149,0,0,0,6,0,0
2008,1,34,114,13,5,18,0,4,48,0,174,85,0,94,0,257,26,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0
