year;MES;TMIN1;TMIN2;TMIN3;TMIN4;TMIN5;TMIN6;TMIN7;TMIN8;TMIN9;TMIN10;TMIN11;TMIN12;TMIN13;TMIN14;TMIN15;TMIN16;TMIN17;TMIN18;TMIN19;TMIN20;TMIN21;TMIN22;TMIN23;TMIN24;TMIN25;TMIN26;TMIN27;TMIN28;TMIN29;TMIN30;TMIN31
2007;1;90;30;30;50;50;50;50;70;50;50;40;50;90;10;50;20;40;70;90;60;30;-10;-20;-40;-40;-40;-60;-60;-40;0;0
2007;2;-10;-40;-10;30;30;20;30;40;0;10;50;40;30;40;50;NA;20;10;10;20;-20;0;50;50;50;20;20;50;;;
2007;3;50;60;90;NA;0;10;50;10;20;10;50;70;60;0;40;40;-10;30;-10;-30;-40;-30;0;10;-30;-10;0;10;0;10;-10
2007;4;-10;0;20;10;-10;0;20;40;50;50;60;50;50;30;40;70;80;90;110;80;80;100;120;130;80;40;40;50;40;30;
2007;5;10;20;50;60;30;30;60;70;100;110;80;100;70;40;20;50;70;110;120;110;50;50;60;70;70;80;50;30;30;70;70
2007;6;60;80;90;50;50;80;110;130;140;110;100;100;100;120;90;90;80;110;120;70;80;70;50;80;70;70;50;50;80;80;
2007;7;110;100;100;80;80;120;130;120;40;80;90;110;150;160;150;100;70;80;70;50;50;70;90;90;100;120;120;110;120;150;120
2007;8;100;90;100;110;140;90;70;50;60;100;120;120;80;100;150;80;50;80;90;50;50;60;80;80;80;100;160;150;130;100;50
2007;9;50;100;90;70;50;70;110;100;130;100;80;70;90;100;60;90;120;70;40;50;120;80;80;90;50;60;50;40;60;120;
2007;10;130;100;80;80;90;90;100;70;60;50;50;40;50;70;80;80;90;50;80;100;100;90;80;80;50;30;10;40;70;40;40
2007;11;0;20;40;80;80;0;30;50;30;20;50;80;-20;0;30;0;50;30;30;30;40;40;10;10;-20;0;30;-10;0;0;
2007;12;30;50;50;40;60;40;60;40;50;20;0;10;30;30;30;0;-30;-40;-20;40;50;40;0;30;50;0;20;40;40;30;20
2008;1;20;30;20;0;10;50;70;30;50;60;20;-10;20;20;30;10;20;50;10;40;80;70;80;60;0;40;50;40;30;40;-10
