"date","tmax","tmin","prec"
"01/01/2007","14.4","9.5","0.0"
"02/01/2007","13.0","8.3","0.0"
"03/01/2007","16.2","8.9","0.0"
"04/01/2007","13.9","8.3","0.0"
"05/01/2007","14.9","9.8","0.0"
"06/01/2007","13.5","8.6","0.0"
"07/01/2007","10.7","7.8","0.0"
"08/01/2007","10.9","6.8","0.0"
"09/01/2007","12.0","5.9","0.1"
"10/01/2007","10.7","5.8","0.0"
"11/01/2007","15.3","6.4","0.0"
"12/01/2007","18.4","9.1","0.0"
"13/01/2007","15.5","11.1","0.0"
"14/01/2007","14.7","9.1","0.0"
"15/01/2007","11.5","7.4","1.6"
"16/01/2007","8.8","6.9","0.0"
"17/01/2007","11.7","6.8","0.0"
"18/01/2007","14.8","7.2","0.0"
"19/01/2007","19.5","9.8","0.0"
"20/01/2007","16.9","10.7","0.0"
"21/01/2007","14.4","7.1","0.0"
"22/01/2007","8.2","2.4","2.1"
"23/01/2007","7.5","1.6","0.2"
"24/01/2007","7.7","0.9","0.0"
"25/01/2007","7.4","0.6","0.3"
"26/01/2007","5.9","-0.4","NA"
"27/01/2007","7.5","-0.5","0.0"
"28/01/2007","6.4","3.7","0.2"
"29/01/2007","10.8","4.5","4.0"
"30/01/2007","8.2","4.9","7.6"
"31/01/2007","11.8","5.0","0.2"
"01/02/2007","11.9","6.2","0.0"
"02/02/2007","13.4","6.6","0.0"
"03/02/2007","8.9","NA","0.0"
"04/02/2007","11.5","5.6","0.0"
"05/02/2007","10.8","6.4","0.0"
"06/02/2007","11.8","5.9","0.0"
"07/02/2007","10.4","5.8","2.0"
"08/02/2007","13.8","7.8","60.0"
"09/02/2007","12.4","5.8","2.0"
"10/02/2007","14.1","8.6","5.0"
"11/02/2007","13.3","11.0","11.0"
"12/02/2007","14.1","9.8","12.0"
"13/02/2007","13.1","10.1","4.5"
"14/02/2007","NA","NA","NA"
"15/02/2007","14.1","8.1","NA"
"16/02/2007","15.9","6.1","8.0"
"17/02/2007","11.8","4.9","2.1"
"18/02/2007","12.3","4.4","0.1"
"19/02/2007","9.1","4.7","0.0"
"20/02/2007","11.0","4.7","7.1"
"21/02/2007","11.6","3.7","0.0"
"22/02/2007","14.2","7.5","12.0"
"23/02/2007","13.3","8.4","1.1"
"24/02/2007","13.9","7.8","0.0"
"25/02/2007","14.4","7.5","1.3"
"26/02/2007","14.9","5.5","0.0"
"27/02/2007","17.2","9.7","0.0"
"28/02/2007","12.4","8.6","4.0"
"01/03/2007","13.7","5.2","0.3"
"02/03/2007","13.5","8.1","0.0"
"03/03/2007","15.9","9.6","0.0"
"04/03/2007","12.8","6.5","5.0"
"05/03/2007","14.4","5.7","0.1"
"06/03/2007","11.5","6.9","4.0"
"07/03/2007","13.6","7.0","8.0"
"08/03/2007","16.5","5.2","0.0"
"09/03/2007","19.2","9.7","0.0"
"10/03/2007","19.5","10.4","0.0"
"11/03/2007","19.3","8.9","0.0"
"12/03/2007","16.8","11.0","0.0"
"13/03/2007","18.6","10.9","0.0"
"14/03/2007","19.1","11.4","0.0"
"15/03/2007","19.3","12.1","0.0"
"16/03/2007","19.8","12.1","0.0"
"17/03/2007","17.7","10.0","0.0"
"18/03/2007","20.1","8.4","0.0"
"19/03/2007","11.5","4.7","0.0"
"20/03/2007","11.6","1.8","0.0"
"21/03/2007","11.3","1.5","0.0"
"22/03/2007","12.9","0.4","0.0"
"23/03/2007","16.9","NA","0.0"
"24/03/2007","16.5","6.7","0.0"
"25/03/2007","15.6","2.8","0.0"
"26/03/2007","15.1","6.6","4.0"
"27/03/2007","14.1","3.7","0.1"
"28/03/2007","14.3","5.3","0.0"
"29/03/2007","15.8","5.0","0.0"
"30/03/2007","14.5","4.7","0.0"
"31/03/2007","11.1","6.5","8.0"
"01/04/2007","13.0","4.0","0.1"
"02/04/2007","11.9","2.9","0.8"
"03/04/2007","12.2","5.2","2.1"
"04/04/2007","14.7","4.8","2.0"
"05/04/2007","11.9","4.2","0.0"
"06/04/2007","15.6","4.3","0.4"
"07/04/2007","16.0","6.2","0.0"
"08/04/2007","14.1","6.2","2.7"
"09/04/2007","16.1","7.3","0.1"
"10/04/2007","19.7","8.0","1.0"
"11/04/2007","14.9","9.6","2.9"
"12/04/2007","18.0","8.4","1.0"
"13/04/2007","18.2","7.6","0.0"
"14/04/2007","20.7","8.1","0.0"
"15/04/2007","22.4","12.8","0.0"
"16/04/2007","23.8","15.0","0.0"
"17/04/2007","24.0","14.4","0.0"
"18/04/2007","22.7","13.6","0.0"
"19/04/2007","20.7","9.7","0.0"
"20/04/2007","21.0","11.3","7.0"
"21/04/2007","22.8","11.8","0.1"
"22/04/2007","25.1","15.1","0.0"
"23/04/2007","26.6","13.8","0.0"
"24/04/2007","24.1","16.0","0.0"
"25/04/2007","18.0","8.6","6.0"
"26/04/2007","17.0","7.9","1.0"
"27/04/2007","16.9","8.5","4.0"
"28/04/2007","18.6","6.7","0.0"
"29/04/2007","19.2","7.2","0.0"
"30/04/2007","12.5","6.0","2.0"
"01/05/2007","13.1","4.3","0.3"
"02/05/2007","13.3","8.0","51.0"
"03/05/2007","18.6","7.7","3.0"
"04/05/2007","19.8","8.8","0.0"
"05/05/2007","21.9","9.0","0.0"
"06/05/2007","21.5","9.8","0.0"
"07/05/2007","25.7","14.8","0.0"
"08/05/2007","28.8","17.6","0.0"
"09/05/2007","29.6","19.9","0.0"
"10/05/2007","24.9","14.5","0.0"
"11/05/2007","20.8","9.1","0.0"
"12/05/2007","24.6","11.8","0.2"
"13/05/2007","18.6","8.2","1.0"
"14/05/2007","18.4","7.2","0.0"
"15/05/2007","21.9","9.9","0.0"
"16/05/2007","26.9","13.8","0.0"
"17/05/2007","29.4","19.1","0.0"
"18/05/2007","30.8","21.5","0.0"
"19/05/2007","30.2","16.3","0.0"
"20/05/2007","21.4","10.5","0.6"
"21/05/2007","16.7","8.4","0.0"
"22/05/2007","18.2","10.8","1.1"
"23/05/2007","20.5","11.9","0.0"
"24/05/2007","23.6","11.2","5.0"
"25/05/2007","19.3","9.9","0.0"
"26/05/2007","19.0","10.9","0.0"
"27/05/2007","17.0","8.1","0.9"
"28/05/2007","20.6","7.1","0.0"
"29/05/2007","23.6","8.5","0.0"
"30/05/2007","20.5","10.2","0.0"
"31/05/2007","18.4","9.5","0.0"
"01/06/2007","25.3","9.5","0.0"
"02/06/2007","28.3","16.6","0.0"
"03/06/2007","30.0","18.8","0.0"
"04/06/2007","31.3","19.2","0.0"
"05/06/2007","30.6","19.2","0.0"
"06/06/2007","31.4","19.1","0.0"
"07/06/2007","31.2","16.4","0.0"
"08/06/2007","23.9","14.1","0.0"
"09/06/2007","25.9","14.3","0.5"
"10/06/2007","22.3","13.1","0.5"
"11/06/2007","25.0","11.8","0.0"
"12/06/2007","25.2","13.6","0.0"
"13/06/2007","21.5","10.8","0.0"
"14/06/2007","16.9","14.1","34.0"
"15/06/2007","20.2","12.4","9.0"
"16/06/2007","17.2","14.7","18.0"
"17/06/2007","22.1","13.2","30.0"
"18/06/2007","22.5","13.1","0.0"
"19/06/2007","17.1","12.1","5.0"
"20/06/2007","20.7","11.2","0.0"
"21/06/2007","21.2","9.9","0.0"
"22/06/2007","26.4","10.9","0.0"
"23/06/2007","30.4","16.3","0.0"
"24/06/2007","25.3","13.6","0.0"
"25/06/2007","21.8","12.3","0.0"
"26/06/2007","27.0","12.0","0.0"
"27/06/2007","28.5","15.3","0.0"
"28/06/2007","28.1","13.4","0.0"
"29/06/2007","28.6","9.7","0.0"
"30/06/2007","29.4","15.1","0.0"
"01/07/2007","22.7","13.6","0.0"
"02/07/2007","26.9","11.7","0.0"
"03/07/2007","28.0","15.2","0.0"
"04/07/2007","30.2","14.8","0.0"
"05/07/2007","32.7","19.6","0.0"
"06/07/2007","35.2","24.6","0.0"
"07/07/2007","33.1","19.1","0.0"
"08/07/2007","30.7","15.9","0.0"
"09/07/2007","28.0","15.7","0.0"
"10/07/2007","30.6","16.6","0.0"
"11/07/2007","33.0","20.8","0.0"
"12/07/2007","34.9","23.1","0.0"
"13/07/2007","33.7","22.6","0.0"
"14/07/2007","31.8","19.8","0.0"
